prefix,ip_version,asn,asn_name
103.17.245.0/24,ipv4,AS149746,PT Blip Integrator Provider
2400:e660:5::/48,ipv6,AS149746,PT Blip Integrator Provider
2400:e660:2::/48,ipv6,AS149746,PT Blip Integrator Provider
2400:e660:6::/48,ipv6,AS149746,PT Blip Integrator Provider
43.252.159.0/24,ipv4,AS149746,PT Blip Integrator Provider
103.189.63.0/24,ipv4,AS149746,PT Blip Integrator Provider
2400:e660:8::/48,ipv6,AS149746,PT Blip Integrator Provider
2400:e660:7::/48,ipv6,AS149746,PT Blip Integrator Provider
2400:e660:b::/48,ipv6,AS149746,PT Blip Integrator Provider
112.78.38.0/24,ipv4,AS149746,PT Blip Integrator Provider
2400:e660:9::/48,ipv6,AS149746,PT Blip Integrator Provider
2400:e660:1::/48,ipv6,AS149746,PT Blip Integrator Provider
2400:e660:4::/48,ipv6,AS149746,PT Blip Integrator Provider
202.46.152.0/24,ipv4,AS149746,PT Blip Integrator Provider
2400:e660::/48,ipv6,AS149746,PT Blip Integrator Provider
202.46.153.0/24,ipv4,AS149746,PT Blip Integrator Provider
2400:e660:3::/48,ipv6,AS149746,PT Blip Integrator Provider
103.189.62.0/24,ipv4,AS149746,PT Blip Integrator Provider
202.46.154.0/24,ipv4,AS149746,PT Blip Integrator Provider
103.255.242.0/24,ipv4,AS149746,PT Blip Integrator Provider
2400:e660:a::/48,ipv6,AS149746,PT Blip Integrator Provider
202.46.155.0/24,ipv4,AS149746,PT Blip Integrator Provider
43.252.158.0/24,ipv4,AS149746,PT Blip Integrator Provider
103.17.247.0/24,ipv4,AS149746,PT Blip Integrator Provider
119.2.49.0/24,ipv4,AS149746,PT Blip Integrator Provider
103.247.121.0/24,ipv4,AS149746,PT Blip Integrator Provider
49.128.178.0/24,ipv4,AS149746,PT Blip Integrator Provider
119.2.51.0/24,ipv4,AS149746,PT Blip Integrator Provider
111.68.28.0/24,ipv4,AS149746,PT Blip Integrator Provider
103.17.246.0/24,ipv4,AS149746,PT Blip Integrator Provider
43.252.157.0/24,ipv4,AS149746,PT Blip Integrator Provider
