prefix,ip_version,asn,asn_name
103.57.11.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
117.102.160.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
117.102.161.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
117.102.162.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
175.184.248.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
103.191.157.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
103.57.8.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
175.184.251.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
175.184.250.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
103.57.10.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
175.184.249.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
117.102.163.0/24,ipv4,AS149946,PT Multinet Perkasa Indonesia
