prefix,ip_version,asn,asn_name
2a14:7581:4856::/48,ipv6,AS150249,PT Atharva Telematika Persada
103.87.68.0/24,ipv4,AS150249,PT Atharva Telematika Persada
151.247.5.0/24,ipv4,AS150249,PT Atharva Telematika Persada
143.20.49.0/24,ipv4,AS150249,PT Atharva Telematika Persada
143.20.27.0/24,ipv4,AS150249,PT Atharva Telematika Persada
2a06:9f44::/32,ipv6,AS150249,PT Atharva Telematika Persada
2001:df1:7340::/48,ipv6,AS150249,PT Atharva Telematika Persada
151.242.133.0/24,ipv4,AS150249,PT Atharva Telematika Persada
2a14:7580:ff0f::/48,ipv6,AS150249,PT Atharva Telematika Persada
2a0a:280:2a00::/40,ipv6,AS150249,PT Atharva Telematika Persada
2a06:9f44:f3e0::/48,ipv6,AS150249,PT Atharva Telematika Persada
31.56.30.0/24,ipv4,AS150249,PT Atharva Telematika Persada
31.56.43.0/24,ipv4,AS150249,PT Atharva Telematika Persada
103.83.192.0/24,ipv4,AS150249,PT Atharva Telematika Persada
