prefix,ip_version,asn,asn_name
103.179.67.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.153.188.0/23,ipv4,AS151000,PT Awan Data Indonesia
103.179.134.0/23,ipv4,AS151000,PT Awan Data Indonesia
103.153.189.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.184.12.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.139.245.0/24,ipv4,AS151000,PT Awan Data Indonesia
2402:12e0::/32,ipv6,AS151000,PT Awan Data Indonesia
103.184.12.0/23,ipv4,AS151000,PT Awan Data Indonesia
103.139.244.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.139.244.0/23,ipv4,AS151000,PT Awan Data Indonesia
157.20.255.0/24,ipv4,AS151000,PT Awan Data Indonesia
157.20.254.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.179.66.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.153.188.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.179.66.0/23,ipv4,AS151000,PT Awan Data Indonesia
103.179.134.0/24,ipv4,AS151000,PT Awan Data Indonesia
157.20.254.0/23,ipv4,AS151000,PT Awan Data Indonesia
103.179.135.0/24,ipv4,AS151000,PT Awan Data Indonesia
103.184.13.0/24,ipv4,AS151000,PT Awan Data Indonesia
