prefix,ip_version,asn,asn_name
2402:1aa0:500::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:100::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:122::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:cf::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:110::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:cace::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:123::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0::/32,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:600::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:121::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
157.15.66.0/24,ipv4,AS152377,PT Trimitra Aditama Koneksindo
2402:1aa0:face::/48,ipv6,AS152377,PT Trimitra Aditama Koneksindo
157.15.67.0/24,ipv4,AS152377,PT Trimitra Aditama Koneksindo
103.166.10.0/24,ipv4,AS152377,PT Trimitra Aditama Koneksindo
