prefix,ip_version,asn,asn_name
202.6.213.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.210.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.219.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.214.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.211.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.220.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.218.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.70.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
103.8.98.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.69.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.221.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.72.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.223.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.208.0/20,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.216.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
103.151.91.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.217.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.68.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.209.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
103.8.96.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.215.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
103.8.97.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.208.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
103.8.96.0/22,ipv4,AS17450,"PT Bank Central Asia, Tbk"
103.8.99.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.67.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
202.6.222.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.64.0/20,ipv4,AS17450,"PT Bank Central Asia, Tbk"
119.2.64.0/24,ipv4,AS17450,"PT Bank Central Asia, Tbk"
