prefix,ip_version,asn,asn_name
103.151.95.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.47.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
2407:55c0::/32,ipv6,AS17538,PT. Circlecom Nusantara Indonesia
103.151.99.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.34.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
103.151.98.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.33.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.35.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
103.151.94.0/23,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.39.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.41.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.44.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
2001:df3:b980::/48,ipv6,AS17538,PT. Circlecom Nusantara Indonesia
103.151.94.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.43.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.38.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.42.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.36.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.46.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.37.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
2001:df3:b880::/48,ipv6,AS17538,PT. Circlecom Nusantara Indonesia
202.165.45.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.32.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
202.165.40.0/24,ipv4,AS17538,PT. Circlecom Nusantara Indonesia
