prefix,ip_version,asn,asn_name
103.174.234.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.155.251.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
2402:7980::/32,ipv6,AS17884,PT. Uninet Media Sakti (ISP)
202.145.2.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.158.56.0/23,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
202.145.0.0/22,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
202.145.1.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.158.57.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.155.250.0/23,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.158.56.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
202.145.0.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.155.250.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
103.174.235.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
202.145.3.0/24,ipv4,AS17884,PT. Uninet Media Sakti (ISP)
