prefix,ip_version,asn,asn_name
202.162.39.0/24,ipv4,AS17996,PT Global Prima Utama
103.162.100.0/23,ipv4,AS17996,PT Global Prima Utama
202.162.40.0/23,ipv4,AS17996,PT Global Prima Utama
202.162.38.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.46.0/23,ipv4,AS17996,PT Global Prima Utama
2402:a600::/32,ipv6,AS17996,PT Global Prima Utama
202.162.36.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.35.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.41.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.34.0/23,ipv4,AS17996,PT Global Prima Utama
202.162.37.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.34.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.45.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.33.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.44.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.32.0/23,ipv4,AS17996,PT Global Prima Utama
202.52.156.0/24,ipv4,AS17996,PT Global Prima Utama
202.162.42.0/23,ipv4,AS17996,PT Global Prima Utama
