prefix,ip_version,asn,asn_name
202.147.224.0/19,ipv4,AS18156,BITNET ISP AS
202.147.252.0/24,ipv4,AS18156,BITNET ISP AS
202.147.227.0/24,ipv4,AS18156,BITNET ISP AS
202.147.230.0/24,ipv4,AS18156,BITNET ISP AS
202.147.240.0/24,ipv4,AS18156,BITNET ISP AS
202.147.251.0/24,ipv4,AS18156,BITNET ISP AS
202.147.232.0/24,ipv4,AS18156,BITNET ISP AS
202.147.228.0/24,ipv4,AS18156,BITNET ISP AS
202.147.224.0/22,ipv4,AS18156,BITNET ISP AS
202.147.244.0/22,ipv4,AS18156,BITNET ISP AS
202.147.254.0/24,ipv4,AS18156,BITNET ISP AS
202.147.253.0/24,ipv4,AS18156,BITNET ISP AS
