prefix,ip_version,asn,asn_name
203.77.215.0/24,ipv4,AS18393,"Java Online, PT."
203.77.223.0/24,ipv4,AS18393,"Java Online, PT."
203.77.208.0/24,ipv4,AS18393,"Java Online, PT."
203.77.217.0/24,ipv4,AS18393,"Java Online, PT."
203.77.210.0/24,ipv4,AS18393,"Java Online, PT."
203.77.218.0/24,ipv4,AS18393,"Java Online, PT."
203.77.222.0/24,ipv4,AS18393,"Java Online, PT."
203.77.208.0/23,ipv4,AS18393,"Java Online, PT."
203.77.213.0/24,ipv4,AS18393,"Java Online, PT."
203.77.212.0/24,ipv4,AS18393,"Java Online, PT."
203.77.209.0/24,ipv4,AS18393,"Java Online, PT."
203.77.211.0/24,ipv4,AS18393,"Java Online, PT."
203.77.221.0/24,ipv4,AS18393,"Java Online, PT."
203.77.214.0/24,ipv4,AS18393,"Java Online, PT."
203.77.219.0/24,ipv4,AS18393,"Java Online, PT."
203.77.216.0/24,ipv4,AS18393,"Java Online, PT."
203.77.220.0/24,ipv4,AS18393,"Java Online, PT."
