prefix,ip_version,asn,asn_name
2a0e:b107:600::/44,ipv6,AS200160,Putu Paundrayana Waringin
2a0a:6045:c000::/36,ipv6,AS200160,Putu Paundrayana Waringin
2a0e:b107:690::/44,ipv6,AS200160,Putu Paundrayana Waringin
2a0a:280:11f0::/44,ipv6,AS200160,Putu Paundrayana Waringin
2a0a:280:1100::/40,ipv6,AS200160,Putu Paundrayana Waringin
2a0e:b107:660::/44,ipv6,AS200160,Putu Paundrayana Waringin
2a0e:b107:2150::/44,ipv6,AS200160,Putu Paundrayana Waringin
2a0a:3e45:103::/48,ipv6,AS200160,Putu Paundrayana Waringin
2a0a:3e45:102::/48,ipv6,AS200160,Putu Paundrayana Waringin
2a0e:b107:900::/44,ipv6,AS200160,Putu Paundrayana Waringin
2a0e:46c4:2810::/44,ipv6,AS200160,Putu Paundrayana Waringin
