prefix,ip_version,asn,asn_name
151.242.116.0/24,ipv4,AS211407,PT Perwira Media Solusi
41.216.186.0/24,ipv4,AS211407,PT Perwira Media Solusi
41.216.190.0/24,ipv4,AS211407,PT Perwira Media Solusi
141.11.241.0/24,ipv4,AS211407,PT Perwira Media Solusi
5.181.178.0/24,ipv4,AS211407,PT Perwira Media Solusi
31.57.178.0/24,ipv4,AS211407,PT Perwira Media Solusi
143.20.10.0/24,ipv4,AS211407,PT Perwira Media Solusi
31.58.158.0/24,ipv4,AS211407,PT Perwira Media Solusi
82.41.42.0/24,ipv4,AS211407,PT Perwira Media Solusi
45.158.10.0/24,ipv4,AS211407,PT Perwira Media Solusi
103.195.65.0/24,ipv4,AS211407,PT Perwira Media Solusi
103.118.175.0/24,ipv4,AS211407,PT Perwira Media Solusi
41.216.191.0/24,ipv4,AS211407,PT Perwira Media Solusi
45.149.93.0/24,ipv4,AS211407,PT Perwira Media Solusi
191.101.190.0/24,ipv4,AS211407,PT Perwira Media Solusi
82.39.222.0/24,ipv4,AS211407,PT Perwira Media Solusi
31.56.78.0/24,ipv4,AS211407,PT Perwira Media Solusi
38.109.212.0/24,ipv4,AS211407,PT Perwira Media Solusi
