prefix,ip_version,asn,asn_name
110.232.78.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.86.0/23,ipv4,AS23679,PT. Media Antar Nusa
43.229.253.0/24,ipv4,AS23679,PT. Media Antar Nusa
91.124.132.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.81.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900::/40,ipv6,AS23679,PT. Media Antar Nusa
2401:2900:8000::/33,ipv6,AS23679,PT. Media Antar Nusa
2406:be40:ebe5::/48,ipv6,AS23679,PT. Media Antar Nusa
2401:2900:8888::/48,ipv6,AS23679,PT. Media Antar Nusa
103.114.76.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.31.44.0/23,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:3f00::/48,ipv6,AS23679,PT. Media Antar Nusa
45.249.217.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900::/48,ipv6,AS23679,PT. Media Antar Nusa
110.232.86.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.162.204.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.68.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.157.137.0/24,ipv4,AS23679,PT. Media Antar Nusa
168.80.232.0/22,ipv4,AS23679,PT. Media Antar Nusa
103.31.46.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.155.139.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.64.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.114.77.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.238.201.0/24,ipv4,AS23679,PT. Media Antar Nusa
2406:be40:cafe::/48,ipv6,AS23679,PT. Media Antar Nusa
202.162.197.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.80.0/23,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:3f00::/40,ipv6,AS23679,PT. Media Antar Nusa
103.238.203.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.72.0/24,ipv4,AS23679,PT. Media Antar Nusa
43.229.254.0/24,ipv4,AS23679,PT. Media Antar Nusa
43.230.130.0/23,ipv4,AS23679,PT. Media Antar Nusa
202.162.194.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.238.200.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:8001::/48,ipv6,AS23679,PT. Media Antar Nusa
110.232.84.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.103.139.0/24,ipv4,AS23679,PT. Media Antar Nusa
27.121.112.0/24,ipv4,AS23679,PT. Media Antar Nusa
196.16.248.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.196.116.0/24,ipv4,AS23679,PT. Media Antar Nusa
168.80.248.0/22,ipv4,AS23679,PT. Media Antar Nusa
103.157.136.0/24,ipv4,AS23679,PT. Media Antar Nusa
2406:be40:babe::/48,ipv6,AS23679,PT. Media Antar Nusa
43.230.130.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.80.0/24,ipv4,AS23679,PT. Media Antar Nusa
168.80.252.0/22,ipv4,AS23679,PT. Media Antar Nusa
110.232.65.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.82.0/24,ipv4,AS23679,PT. Media Antar Nusa
43.230.129.0/24,ipv4,AS23679,PT. Media Antar Nusa
43.230.128.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:108::/47,ipv6,AS23679,PT. Media Antar Nusa
150.107.136.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.103.137.0/24,ipv4,AS23679,PT. Media Antar Nusa
150.107.137.0/24,ipv4,AS23679,PT. Media Antar Nusa
27.121.113.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.83.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:8000::/48,ipv6,AS23679,PT. Media Antar Nusa
202.162.196.0/23,ipv4,AS23679,PT. Media Antar Nusa
110.232.70.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.162.195.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.114.78.0/24,ipv4,AS23679,PT. Media Antar Nusa
196.19.248.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.31.44.0/24,ipv4,AS23679,PT. Media Antar Nusa
103.153.229.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:200::/40,ipv6,AS23679,PT. Media Antar Nusa
196.17.227.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.71.0/24,ipv4,AS23679,PT. Media Antar Nusa
91.124.138.0/24,ipv4,AS23679,PT. Media Antar Nusa
2406:be40:b15a::/48,ipv6,AS23679,PT. Media Antar Nusa
2401:2900:8005::/48,ipv6,AS23679,PT. Media Antar Nusa
2401:2900:104::/47,ipv6,AS23679,PT. Media Antar Nusa
202.162.192.0/22,ipv4,AS23679,PT. Media Antar Nusa
103.245.226.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:8006::/48,ipv6,AS23679,PT. Media Antar Nusa
43.229.255.0/24,ipv4,AS23679,PT. Media Antar Nusa
168.80.240.0/22,ipv4,AS23679,PT. Media Antar Nusa
43.230.131.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.162.194.0/23,ipv4,AS23679,PT. Media Antar Nusa
202.155.138.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.162.199.0/24,ipv4,AS23679,PT. Media Antar Nusa
124.158.117.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.162.193.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:106::/47,ipv6,AS23679,PT. Media Antar Nusa
110.232.66.0/24,ipv4,AS23679,PT. Media Antar Nusa
202.134.236.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:8000::/34,ipv6,AS23679,PT. Media Antar Nusa
110.232.91.0/24,ipv4,AS23679,PT. Media Antar Nusa
110.232.67.0/24,ipv4,AS23679,PT. Media Antar Nusa
2401:2900:8007::/48,ipv6,AS23679,PT. Media Antar Nusa
2401:2900:8004::/48,ipv6,AS23679,PT. Media Antar Nusa
