prefix,ip_version,asn,asn_name
202.80.124.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.112.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.118.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.115.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.116.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.121.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.113.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.123.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.117.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.114.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.119.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.126.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.120.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.125.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.127.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
202.80.122.0/24,ipv4,AS23699,"IP Teknologi Komunikasi, PT."
