prefix,ip_version,asn,asn_name
117.102.228.0/24,ipv4,AS23756,PADINET - Padi Internet
103.242.206.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.227.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200:300::/40,ipv6,AS23756,PADINET - Padi Internet
2406:6200:200::/40,ipv6,AS23756,PADINET - Padi Internet
117.102.244.0/24,ipv4,AS23756,PADINET - Padi Internet
103.242.205.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200:2000::/40,ipv6,AS23756,PADINET - Padi Internet
103.242.204.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.245.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.239.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.231.0/24,ipv4,AS23756,PADINET - Padi Internet
150.107.132.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200::/32,ipv6,AS23756,PADINET - Padi Internet
2406:6200:2100::/40,ipv6,AS23756,PADINET - Padi Internet
202.6.237.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.226.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.231.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.243.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.254.0/24,ipv4,AS23756,PADINET - Padi Internet
103.242.204.0/22,ipv4,AS23756,PADINET - Padi Internet
117.102.224.0/19,ipv4,AS23756,PADINET - Padi Internet
202.6.228.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.230.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.252.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.236.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200:400::/40,ipv6,AS23756,PADINET - Padi Internet
202.6.234.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200:500::/40,ipv6,AS23756,PADINET - Padi Internet
202.6.238.0/24,ipv4,AS23756,PADINET - Padi Internet
150.107.133.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.226.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.229.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.229.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.253.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.230.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.227.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.224.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.224.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.233.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200::/40,ipv6,AS23756,PADINET - Padi Internet
117.102.232.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.232.0/24,ipv4,AS23756,PADINET - Padi Internet
117.102.225.0/24,ipv4,AS23756,PADINET - Padi Internet
2406:6200:100::/40,ipv6,AS23756,PADINET - Padi Internet
202.6.224.0/20,ipv4,AS23756,PADINET - Padi Internet
202.6.225.0/24,ipv4,AS23756,PADINET - Padi Internet
150.107.132.0/22,ipv4,AS23756,PADINET - Padi Internet
202.6.235.0/24,ipv4,AS23756,PADINET - Padi Internet
202.6.239.0/24,ipv4,AS23756,PADINET - Padi Internet
