prefix,ip_version,asn,asn_name
103.116.126.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.129.217.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.116.124.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.129.216.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.129.218.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.111.192.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.116.127.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.154.136.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
2400:dc00:4007::/48,ipv6,AS23947,PT.Mora Telematika Indonesia
103.129.249.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.154.84.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.111.144.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
103.116.125.0/24,ipv4,AS23947,PT.Mora Telematika Indonesia
