prefix,ip_version,asn,asn_name
202.152.142.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.48.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.48.0/21,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:101::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.159.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:3002::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.118.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.116.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
103.101.136.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.48.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.147.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.112.0/20,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:2000::/36,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.128.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.57.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.151.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.115.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1e84::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1041::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1e86::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.138.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.117.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:104::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:3001::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.112.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.60.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00::/32,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.132.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.140.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1042::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.56.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.53.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.120.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.112.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.63.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.134.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.145.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:3044::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
103.101.139.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1e82::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:130::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:107::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.158.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.122.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.114.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.155.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.154.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.50.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:120::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.59.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.153.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.62.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.156.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.54.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.138.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:2020::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1044::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
103.101.138.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.58.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.55.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1040::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:2010::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.134.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.129.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.128.0/21,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.143.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.112.0/21,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.128.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.146.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.49.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.52.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:3042::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.61.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.120.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.140.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.119.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.139.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.132.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.116.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1081::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.114.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:102::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.133.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:123::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.128.0/19,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:121::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.128.0/20,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.52.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.122.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.137.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.149.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.136.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
103.101.138.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.54.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:103::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.144.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1e85::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.146.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.158.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.141.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.116.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1046::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.132.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.48.0/20,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.148.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.135.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.156.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.112.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:129::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:106::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:3043::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.150.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.118.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.144.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1e83::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.144.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.136.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.157.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1045::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.148.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.62.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.123.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.121.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:20ff::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.51.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.140.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.65.113.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.56.0/22,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.142.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:3041::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:1e81::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.48.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
117.20.60.0/24,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
202.152.150.0/23,ipv4,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:105::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
2401:ee00:30ff::/48,ipv6,AS23951,PT JEMBATAN CITRA NUSANTARA
