prefix,ip_version,asn,asn_name
202.67.8.0/22,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.14.0/23,ipv4,AS24195,PT. Dhecyber Flow Indonesia
118.91.133.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.12.0/22,ipv4,AS24195,PT. Dhecyber Flow Indonesia
118.91.131.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
118.91.132.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.13.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.8.0/23,ipv4,AS24195,PT. Dhecyber Flow Indonesia
118.91.129.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.12.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.15.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.10.0/23,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.10.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.9.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.8.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.12.0/23,ipv4,AS24195,PT. Dhecyber Flow Indonesia
118.91.128.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
202.67.14.0/24,ipv4,AS24195,PT. Dhecyber Flow Indonesia
2401:4200::/32,ipv6,AS24195,PT. Dhecyber Flow Indonesia
