prefix,ip_version,asn,asn_name
203.160.50.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
103.67.242.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
103.67.243.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
103.67.240.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
103.67.240.0/23,ipv4,AS24225,ABS/SMA-INDONESIA
2404:f700::/32,ipv6,AS24225,ABS/SMA-INDONESIA
203.160.51.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
103.67.242.0/23,ipv4,AS24225,ABS/SMA-INDONESIA
103.67.241.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
203.160.50.0/23,ipv4,AS24225,ABS/SMA-INDONESIA
2405:da80::/32,ipv6,AS24225,ABS/SMA-INDONESIA
203.160.48.0/24,ipv4,AS24225,ABS/SMA-INDONESIA
