prefix,ip_version,asn,asn_name
2403:ba00:700::/40,ipv6,AS24521,PT. DATA Utama Dinamika
123.255.204.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.30.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.205.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.243.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.20.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.16.0/21,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.200.0/21,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00:600::/40,ipv6,AS24521,PT. DATA Utama Dinamika
119.82.240.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.16.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.206.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.244.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.204.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.242.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.202.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00:602::/48,ipv6,AS24521,PT. DATA Utama Dinamika
2403:ba00:607::/48,ipv6,AS24521,PT. DATA Utama Dinamika
203.89.25.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.17.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
175.184.227.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00:2::/48,ipv6,AS24521,PT. DATA Utama Dinamika
112.109.23.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.203.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.247.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.21.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.244.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.200.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.30.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.29.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00:200::/40,ipv6,AS24521,PT. DATA Utama Dinamika
119.82.246.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.16.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.240.0/21,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.26.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.200.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.24.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
175.184.231.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.200.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.28.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.20.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.207.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
175.184.224.0/21,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.242.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.240.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.18.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.204.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.24.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00::/40,ipv6,AS24521,PT. DATA Utama Dinamika
123.255.202.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.245.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
123.255.201.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.28.0/22,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00:300::/40,ipv6,AS24521,PT. DATA Utama Dinamika
203.89.28.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.31.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.26.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.24.0/21,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.22.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00::/32,ipv6,AS24521,PT. DATA Utama Dinamika
119.82.244.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.19.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
203.89.27.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
2403:ba00:600::/48,ipv6,AS24521,PT. DATA Utama Dinamika
112.109.16.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
112.109.20.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
175.184.230.0/24,ipv4,AS24521,PT. DATA Utama Dinamika
119.82.240.0/23,ipv4,AS24521,PT. DATA Utama Dinamika
