prefix,ip_version,asn,asn_name
103.148.47.0/24,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:6::/47,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:200::/40,ipv6,AS24527,PT Hanasta Dakara
203.160.60.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:201::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:8::/48,ipv6,AS24527,PT Hanasta Dakara
183.81.158.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:9::/48,ipv6,AS24527,PT Hanasta Dakara
183.81.154.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:202::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:20c::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:6::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:200::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:208::/48,ipv6,AS24527,PT Hanasta Dakara
203.160.56.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:7::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:204::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:300::/40,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:210::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:20d::/48,ipv6,AS24527,PT Hanasta Dakara
183.81.159.0/24,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:8::/47,ipv6,AS24527,PT Hanasta Dakara
103.148.46.0/24,ipv4,AS24527,PT Hanasta Dakara
203.160.60.0/22,ipv4,AS24527,PT Hanasta Dakara
183.81.152.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:207::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:206::/48,ipv6,AS24527,PT Hanasta Dakara
203.160.58.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:20e::/48,ipv6,AS24527,PT Hanasta Dakara
183.81.152.0/22,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:211::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:2::/47,ipv6,AS24527,PT Hanasta Dakara
183.81.158.0/24,ipv4,AS24527,PT Hanasta Dakara
183.81.156.0/22,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:20a::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40::/46,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:20f::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:20b::/48,ipv6,AS24527,PT Hanasta Dakara
203.160.56.0/22,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:209::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40::/47,ipv6,AS24527,PT Hanasta Dakara
183.81.156.0/23,ipv4,AS24527,PT Hanasta Dakara
203.160.62.0/23,ipv4,AS24527,PT Hanasta Dakara
2405:6c40:205::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:203::/48,ipv6,AS24527,PT Hanasta Dakara
2405:6c40:1::/48,ipv6,AS24527,PT Hanasta Dakara
