prefix,ip_version,asn,asn_name
58.147.187.0/24,ipv4,AS24534,PT. Transhybrid Communication
2404:9580:30::/48,ipv6,AS24534,PT. Transhybrid Communication
103.149.14.0/24,ipv4,AS24534,PT. Transhybrid Communication
58.147.190.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.52.69.0/24,ipv4,AS24534,PT. Transhybrid Communication
38.150.100.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.149.15.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.52.71.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.42.120.0/24,ipv4,AS24534,PT. Transhybrid Communication
58.147.188.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.136.79.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.149.34.0/24,ipv4,AS24534,PT. Transhybrid Communication
58.147.185.0/24,ipv4,AS24534,PT. Transhybrid Communication
103.149.35.0/24,ipv4,AS24534,PT. Transhybrid Communication
2404:9580:48::/48,ipv6,AS24534,PT. Transhybrid Communication
58.147.189.0/24,ipv4,AS24534,PT. Transhybrid Communication
58.147.186.0/24,ipv4,AS24534,PT. Transhybrid Communication
2404:9580:32::/48,ipv6,AS24534,PT. Transhybrid Communication
38.150.103.0/24,ipv4,AS24534,PT. Transhybrid Communication
