prefix,ip_version,asn,asn_name
202.146.180.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
2404:4200::/48,ipv6,AS24536,PT. Elektrindo Data Nusantara
202.146.181.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
202.146.176.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
202.146.177.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
202.146.182.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
202.146.179.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
202.146.183.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
202.146.178.0/24,ipv4,AS24536,PT. Elektrindo Data Nusantara
2404:4200::/32,ipv6,AS24536,PT. Elektrindo Data Nusantara
202.146.176.0/21,ipv4,AS24536,PT. Elektrindo Data Nusantara
