prefix,ip_version,asn,asn_name
122.200.51.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.187.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.185.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.191.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
103.246.185.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.188.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.184.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.186.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
203.81.189.0/24,ipv4,AS24538,DIGITAL SATELLITE INDONESIA PT.
2406:b480:204::/48,ipv6,AS24538,DIGITAL SATELLITE INDONESIA PT.
2403:2600::/32,ipv6,AS24538,DIGITAL SATELLITE INDONESIA PT.
