prefix,ip_version,asn,asn_name
122.200.50.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.11.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:101::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.6.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.9.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:200::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.20.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:103::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.21.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
122.200.54.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.31.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.14.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.14.0/23,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:100::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.22.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.10.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
122.200.49.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.5.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
122.200.53.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.30.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.15.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:201::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:202::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.19.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:d191::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.0.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
122.200.48.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.23.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
2406:b480:102::/48,ipv6,AS38146,DIGITAL WIRELESS INDONESIA PT.
118.82.13.0/24,ipv4,AS38146,DIGITAL WIRELESS INDONESIA PT.
