prefix,ip_version,asn,asn_name
122.200.147.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
103.30.221.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.145.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.149.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.150.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
103.30.220.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.146.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.144.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.151.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
122.200.148.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
103.30.223.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
103.30.222.0/24,ipv4,AS38148,QIANDRA INFORMATION TECHNOLOGY PT
