prefix,ip_version,asn,asn_name
180.214.244.0/24,ipv4,AS38150,PT. TIME EXCELINDO
180.214.247.0/24,ipv4,AS38150,PT. TIME EXCELINDO
180.214.243.0/24,ipv4,AS38150,PT. TIME EXCELINDO
2402:f080:3::/48,ipv6,AS38150,PT. TIME EXCELINDO
180.214.249.0/24,ipv4,AS38150,PT. TIME EXCELINDO
202.91.11.0/24,ipv4,AS38150,PT. TIME EXCELINDO
2402:f080:c::/48,ipv6,AS38150,PT. TIME EXCELINDO
180.214.255.0/24,ipv4,AS38150,PT. TIME EXCELINDO
202.91.10.0/24,ipv4,AS38150,PT. TIME EXCELINDO
103.156.241.0/24,ipv4,AS38150,PT. TIME EXCELINDO
202.91.14.0/24,ipv4,AS38150,PT. TIME EXCELINDO
180.214.245.0/24,ipv4,AS38150,PT. TIME EXCELINDO
103.156.240.0/24,ipv4,AS38150,PT. TIME EXCELINDO
202.91.8.0/24,ipv4,AS38150,PT. TIME EXCELINDO
180.214.246.0/24,ipv4,AS38150,PT. TIME EXCELINDO
202.91.13.0/24,ipv4,AS38150,PT. TIME EXCELINDO
180.214.240.0/24,ipv4,AS38150,PT. TIME EXCELINDO
2402:f080::/48,ipv6,AS38150,PT. TIME EXCELINDO
2402:f080:2::/48,ipv6,AS38150,PT. TIME EXCELINDO
2402:f080:a::/48,ipv6,AS38150,PT. TIME EXCELINDO
202.91.15.0/24,ipv4,AS38150,PT. TIME EXCELINDO
180.214.248.0/24,ipv4,AS38150,PT. TIME EXCELINDO
2402:f080:b::/48,ipv6,AS38150,PT. TIME EXCELINDO
