prefix,ip_version,asn,asn_name
2405:a540:100e::/48,ipv6,AS38156,PT. Union Routelink Communication
203.190.117.0/24,ipv4,AS38156,PT. Union Routelink Communication
203.190.112.0/21,ipv4,AS38156,PT. Union Routelink Communication
2405:a540:1001::/48,ipv6,AS38156,PT. Union Routelink Communication
203.190.112.0/24,ipv4,AS38156,PT. Union Routelink Communication
2405:a540:1006::/48,ipv6,AS38156,PT. Union Routelink Communication
203.190.114.0/24,ipv4,AS38156,PT. Union Routelink Communication
103.161.62.0/24,ipv4,AS38156,PT. Union Routelink Communication
2405:a540::/32,ipv6,AS38156,PT. Union Routelink Communication
103.161.63.0/24,ipv4,AS38156,PT. Union Routelink Communication
203.190.115.0/24,ipv4,AS38156,PT. Union Routelink Communication
2405:a540:1002::/48,ipv6,AS38156,PT. Union Routelink Communication
203.190.118.0/24,ipv4,AS38156,PT. Union Routelink Communication
203.190.116.0/24,ipv4,AS38156,PT. Union Routelink Communication
2405:a540:1009::/48,ipv6,AS38156,PT. Union Routelink Communication
203.190.119.0/24,ipv4,AS38156,PT. Union Routelink Communication
203.190.113.0/24,ipv4,AS38156,PT. Union Routelink Communication
