prefix,ip_version,asn,asn_name
203.135.178.0/23,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.176.0/23,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.176.0/22,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.176.0/21,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.177.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.180.0/22,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.179.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.180.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.183.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.178.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.176.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.181.0/24,ipv4,AS38211,PT. Mandiri Citra Makmur
203.135.180.0/23,ipv4,AS38211,PT. Mandiri Citra Makmur
