prefix,ip_version,asn,asn_name
137.59.13.0/24,ipv4,AS38500,PT. Cross Network Indonesia
103.244.39.0/24,ipv4,AS38500,PT. Cross Network Indonesia
137.59.15.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.250.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.253.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.248.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.251.0/24,ipv4,AS38500,PT. Cross Network Indonesia
103.244.37.0/24,ipv4,AS38500,PT. Cross Network Indonesia
103.244.36.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.254.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.249.0/24,ipv4,AS38500,PT. Cross Network Indonesia
116.68.252.0/24,ipv4,AS38500,PT. Cross Network Indonesia
137.59.12.0/24,ipv4,AS38500,PT. Cross Network Indonesia
103.146.34.0/24,ipv4,AS38500,PT. Cross Network Indonesia
103.146.35.0/24,ipv4,AS38500,PT. Cross Network Indonesia
