prefix,ip_version,asn,asn_name
2406:9300:7::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:6::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.174.0/24,ipv4,AS38506,PT Pika Media Komunika
2406:9300:c::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:f::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.174.0/23,ipv4,AS38506,PT Pika Media Komunika
2406:9300::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:2::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.168.0/24,ipv4,AS38506,PT Pika Media Komunika
2406:9300::/32,ipv6,AS38506,PT Pika Media Komunika
117.103.170.0/23,ipv4,AS38506,PT Pika Media Komunika
2406:9300:d::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:9::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:5::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.172.0/24,ipv4,AS38506,PT Pika Media Komunika
2406:9300:a::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:3::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.170.0/24,ipv4,AS38506,PT Pika Media Komunika
117.103.168.0/23,ipv4,AS38506,PT Pika Media Komunika
2406:9300:1::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.172.0/22,ipv4,AS38506,PT Pika Media Komunika
117.103.173.0/24,ipv4,AS38506,PT Pika Media Komunika
2406:9300:b::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:8::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.171.0/24,ipv4,AS38506,PT Pika Media Komunika
117.103.168.0/22,ipv4,AS38506,PT Pika Media Komunika
2406:9300:ffff::/48,ipv6,AS38506,PT Pika Media Komunika
2406:9300:e::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.169.0/24,ipv4,AS38506,PT Pika Media Komunika
117.103.172.0/23,ipv4,AS38506,PT Pika Media Komunika
117.103.175.0/24,ipv4,AS38506,PT Pika Media Komunika
2406:9300:4::/48,ipv6,AS38506,PT Pika Media Komunika
117.103.168.0/21,ipv4,AS38506,PT Pika Media Komunika
