prefix,ip_version,asn,asn_name
2402:600:1000::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:1::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.124.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600::/32,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.123.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:c000::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:d000::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.127.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.121.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
103.107.250.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
103.107.251.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
103.107.248.0/22,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
103.107.248.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:5414::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.122.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:c1b1::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.126.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.120.0/21,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:d::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.125.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
2402:600:b1::/48,ipv6,AS38515,"GRAHAMEDIA INFORMASI, PT."
117.74.120.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
103.107.249.0/24,ipv4,AS38515,"GRAHAMEDIA INFORMASI, PT."
