prefix,ip_version,asn,asn_name
117.74.118.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
2401:2c40:5::/48,ipv6,AS38523,PT. SRIWIJAYA INTERNET SERVICES
117.74.115.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
117.74.113.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
117.74.117.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
2401:2c40:1::/48,ipv6,AS38523,PT. SRIWIJAYA INTERNET SERVICES
2401:2c40:3::/48,ipv6,AS38523,PT. SRIWIJAYA INTERNET SERVICES
2401:2c40:4::/48,ipv6,AS38523,PT. SRIWIJAYA INTERNET SERVICES
2401:2c40::/48,ipv6,AS38523,PT. SRIWIJAYA INTERNET SERVICES
2401:2c40:2::/48,ipv6,AS38523,PT. SRIWIJAYA INTERNET SERVICES
117.74.116.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
117.74.112.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
117.74.114.0/24,ipv4,AS38523,PT. SRIWIJAYA INTERNET SERVICES
