prefix,ip_version,asn,asn_name
2405:3740:900f::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
103.112.190.0/24,ipv4,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
103.112.193.0/24,ipv4,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9002::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9005::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:900c::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
103.112.192.0/24,ipv4,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9004::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:8001::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:1::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9006::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9000::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:8000::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:900e::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740::/32,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:900b::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9007::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9001::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9003::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:900d::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
103.210.193.0/24,ipv4,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:8009::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:8003::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:8004::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9009::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:900a::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:9008::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
2405:3740:8008::/48,ipv6,AS38526,Dinas Komunikasi Informatika dan Persandian Kota Yogyakarta
