prefix,ip_version,asn,asn_name
202.180.8.0/24,ipv4,AS38759,"TRANSMEDIA INDONESIA, PT"
2001:d68:10::/48,ipv6,AS38759,"TRANSMEDIA INDONESIA, PT"
202.180.7.0/24,ipv4,AS38759,"TRANSMEDIA INDONESIA, PT"
2001:d68:11::/48,ipv6,AS38759,"TRANSMEDIA INDONESIA, PT"
202.180.9.0/24,ipv4,AS38759,"TRANSMEDIA INDONESIA, PT"
202.180.10.0/24,ipv4,AS38759,"TRANSMEDIA INDONESIA, PT"
2001:d68:7::/48,ipv6,AS38759,"TRANSMEDIA INDONESIA, PT"
2001:d68:9::/48,ipv6,AS38759,"TRANSMEDIA INDONESIA, PT"
202.180.11.0/24,ipv4,AS38759,"TRANSMEDIA INDONESIA, PT"
103.112.223.0/24,ipv4,AS38759,"TRANSMEDIA INDONESIA, PT"
2001:d68:8::/48,ipv6,AS38759,"TRANSMEDIA INDONESIA, PT"
