prefix,ip_version,asn,asn_name
114.141.53.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
2404:dd40::/32,ipv6,AS38771,PT Cyberplus Media Pratama
114.141.48.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
103.171.234.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.51.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.50.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.54.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
103.171.234.0/23,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.55.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.49.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.52.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
103.171.235.0/24,ipv4,AS38771,PT Cyberplus Media Pratama
114.141.48.0/21,ipv4,AS38771,PT Cyberplus Media Pratama
