prefix,ip_version,asn,asn_name
203.201.172.0/22,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.173.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.8.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
103.228.239.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.220.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.24.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.221.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
45.64.6.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
2407:f900::/42,ipv6,AS38778,PT. Dutakom Wibawa Putra
202.148.30.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.216.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
103.228.238.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
2407:f900::/39,ipv6,AS38778,PT. Dutakom Wibawa Putra
202.148.8.0/21,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.217.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.15.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
103.228.236.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
2407:f900:40::/42,ipv6,AS38778,PT. Dutakom Wibawa Putra
202.148.30.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.169.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.9.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.218.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.222.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
2407:f900:fc00::/39,ipv6,AS38778,PT. Dutakom Wibawa Putra
103.228.238.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
45.64.4.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.7.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.172.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.93.245.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.6.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.93.244.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.6.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.216.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.218.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.175.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
2407:f900:400::/42,ipv6,AS38778,PT. Dutakom Wibawa Putra
103.228.236.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.10.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.11.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
45.64.4.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.222.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.24.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.31.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.93.246.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.170.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.14.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.12.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.219.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.220.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.93.246.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.170.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
115.69.223.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.25.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.148.13.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
45.64.5.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.93.244.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
103.228.237.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
45.64.6.0/23,ipv4,AS38778,PT. Dutakom Wibawa Putra
202.93.247.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.174.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
203.201.171.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
45.64.7.0/24,ipv4,AS38778,PT. Dutakom Wibawa Putra
2407:f900:fd00::/46,ipv6,AS38778,PT. Dutakom Wibawa Putra
