prefix,ip_version,asn,asn_name
2401:8240:106::/48,ipv6,AS38784,PT. Global Inti Corporatama
202.75.18.0/24,ipv4,AS38784,PT. Global Inti Corporatama
202.75.19.0/24,ipv4,AS38784,PT. Global Inti Corporatama
2401:8240:100::/48,ipv6,AS38784,PT. Global Inti Corporatama
202.75.26.0/24,ipv4,AS38784,PT. Global Inti Corporatama
202.75.23.0/24,ipv4,AS38784,PT. Global Inti Corporatama
2401:8240:101::/48,ipv6,AS38784,PT. Global Inti Corporatama
2401:8240:1000::/48,ipv6,AS38784,PT. Global Inti Corporatama
2401:8240:104::/48,ipv6,AS38784,PT. Global Inti Corporatama
202.75.17.0/24,ipv4,AS38784,PT. Global Inti Corporatama
2401:8240:105::/48,ipv6,AS38784,PT. Global Inti Corporatama
2401:8240:102::/48,ipv6,AS38784,PT. Global Inti Corporatama
2401:8240:103::/48,ipv6,AS38784,PT. Global Inti Corporatama
