prefix,ip_version,asn,asn_name
119.110.119.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.123.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.120.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
2404:c000::/47,ipv6,AS45147,PT. NAP Info Lintas Nusa
154.18.204.0/22,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.126.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.114.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.122.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.125.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
2404:c000:4002::/47,ipv6,AS45147,PT. NAP Info Lintas Nusa
119.110.112.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
119.110.121.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
2404:c000::/33,ipv6,AS45147,PT. NAP Info Lintas Nusa
2404:c000:4000::/47,ipv6,AS45147,PT. NAP Info Lintas Nusa
2404:c000:2::/48,ipv6,AS45147,PT. NAP Info Lintas Nusa
119.110.127.0/24,ipv4,AS45147,PT. NAP Info Lintas Nusa
