prefix,ip_version,asn,asn_name
175.176.162.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.123.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.122.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.127.168.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.115.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
2406:2400:f1f1::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
111.68.119.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.117.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.126.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.18.114.0/23,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.161.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.23.202.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.23.201.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
203.99.131.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.31.110.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.120.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
203.99.130.0/23,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.18.115.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
202.56.160.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.160.0/21,ipv4,AS45287,"Varnion Technology Semesta, PT"
2406:2400:ccef::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
111.68.124.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
150.129.57.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.112.0/20,ipv4,AS45287,"Varnion Technology Semesta, PT"
150.129.56.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
2406:2400:7777::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
150.129.59.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
2406:2400:1000::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
111.68.127.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.125.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
202.56.160.0/22,ipv4,AS45287,"Varnion Technology Semesta, PT"
150.129.56.0/22,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.113.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.127.169.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
2406:2400:f01d::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
175.176.165.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.160.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
202.56.161.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.23.200.0/22,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.114.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.118.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
2406:2400:cdef::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
2406:2400:f1f0::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
2406:2400:c0::/48,ipv6,AS45287,"Varnion Technology Semesta, PT"
150.129.58.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.23.200.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.127.168.0/23,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.31.111.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.121.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.164.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.31.110.0/23,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.23.203.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.167.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
103.18.114.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.112.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
111.68.116.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.166.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
175.176.163.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
202.56.162.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
203.99.130.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
202.56.163.0/24,ipv4,AS45287,"Varnion Technology Semesta, PT"
