prefix,ip_version,asn,asn_name
113.212.161.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
203.145.61.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
103.21.95.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
103.21.93.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
113.212.164.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
2407:4600::/32,ipv6,AS45295,PT. Cipta Informatika Cemerlang
113.212.160.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
113.212.167.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
113.212.163.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
103.21.92.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
203.145.60.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
113.212.165.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
103.21.94.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
113.212.166.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
113.212.162.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
103.151.93.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
103.151.92.0/24,ipv4,AS45295,PT. Cipta Informatika Cemerlang
