prefix,ip_version,asn,asn_name
182.16.249.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.248.0/23,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.247.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.208.0/23,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.210.0/23,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
202.43.72.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.245.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.208.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.243.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
202.43.73.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.251.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
203.209.190.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
103.247.244.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.244.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.250.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
203.171.221.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.248.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.241.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.240.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.246.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.252.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
202.43.74.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.210.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.208.0/22,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.211.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.255.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.242.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
43.249.209.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.254.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
103.228.8.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
182.16.253.0/24,ipv4,AS45298,"INTERLINK TECHNOLOGY, PT"
