prefix,ip_version,asn,asn_name
112.78.47.0/24,ipv4,AS45302,PT DES Teknologi Informasi
103.30.180.0/24,ipv4,AS45302,PT DES Teknologi Informasi
112.78.45.0/24,ipv4,AS45302,PT DES Teknologi Informasi
103.30.180.0/22,ipv4,AS45302,PT DES Teknologi Informasi
2403:9100:1::/48,ipv6,AS45302,PT DES Teknologi Informasi
112.78.42.0/24,ipv4,AS45302,PT DES Teknologi Informasi
157.119.223.0/24,ipv4,AS45302,PT DES Teknologi Informasi
157.119.220.0/24,ipv4,AS45302,PT DES Teknologi Informasi
112.78.44.0/24,ipv4,AS45302,PT DES Teknologi Informasi
112.78.46.0/24,ipv4,AS45302,PT DES Teknologi Informasi
103.30.181.0/24,ipv4,AS45302,PT DES Teknologi Informasi
103.30.183.0/24,ipv4,AS45302,PT DES Teknologi Informasi
157.119.222.0/24,ipv4,AS45302,PT DES Teknologi Informasi
112.78.40.0/24,ipv4,AS45302,PT DES Teknologi Informasi
157.119.220.0/22,ipv4,AS45302,PT DES Teknologi Informasi
112.78.41.0/24,ipv4,AS45302,PT DES Teknologi Informasi
157.119.221.0/24,ipv4,AS45302,PT DES Teknologi Informasi
103.30.182.0/24,ipv4,AS45302,PT DES Teknologi Informasi
112.78.43.0/24,ipv4,AS45302,PT DES Teknologi Informasi
2403:9100::/32,ipv6,AS45302,PT DES Teknologi Informasi
112.78.40.0/21,ipv4,AS45302,PT DES Teknologi Informasi
2403:9100::/40,ipv6,AS45302,PT DES Teknologi Informasi
103.30.182.0/23,ipv4,AS45302,PT DES Teknologi Informasi
157.119.222.0/23,ipv4,AS45302,PT DES Teknologi Informasi
