prefix,ip_version,asn,asn_name
202.81.54.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
43.247.33.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.60.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.134.66.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.14.45.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.52.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.18.220.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.62.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.59.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
119.252.104.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.58.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.152.94.0/23,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.61.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.227.220.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.48.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.18.32.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.134.67.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
2404:f8c0::/48,ipv6,AS45312,PT MEDIA LINTAS DATA
43.247.34.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.226.136.0/23,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.55.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.14.44.0/23,ipv4,AS45312,PT MEDIA LINTAS DATA
2404:f8c0::/32,ipv6,AS45312,PT MEDIA LINTAS DATA
202.81.50.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.29.120.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.51.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.8.224.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.53.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.247.32.0/23,ipv4,AS45312,PT MEDIA LINTAS DATA
103.134.66.0/23,ipv4,AS45312,PT MEDIA LINTAS DATA
119.252.128.0/21,ipv4,AS45312,PT MEDIA LINTAS DATA
103.14.44.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
202.94.80.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.57.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.31.164.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.49.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
43.247.32.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
103.18.96.0/22,ipv4,AS45312,PT MEDIA LINTAS DATA
43.247.32.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
202.81.56.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
43.247.35.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
103.18.33.0/24,ipv4,AS45312,PT MEDIA LINTAS DATA
