prefix,ip_version,asn,asn_name
203.190.44.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
2406:1b00:1::/48,ipv6,AS45317,"Jaringan Lintas Utara, PT"
2406:1b00::/48,ipv6,AS45317,"Jaringan Lintas Utara, PT"
203.190.46.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
203.190.45.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
203.190.41.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
203.190.47.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
203.190.40.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
203.190.43.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
203.190.42.0/24,ipv4,AS45317,"Jaringan Lintas Utara, PT"
