prefix,ip_version,asn,asn_name
103.169.206.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.34.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
103.146.182.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
103.3.68.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
2001:df7:880::/48,ipv6,AS45325,PT PC24 Telekomunikasi Indonesia
202.43.112.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.32.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
103.169.207.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.41.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.39.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.45.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
203.30.255.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.38.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
157.15.119.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.33.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
103.149.180.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.47.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
203.30.254.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
2001:df3:3580::/48,ipv6,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.43.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
103.3.69.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.36.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
202.43.113.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.46.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
122.248.40.0/24,ipv4,AS45325,PT PC24 Telekomunikasi Indonesia
