prefix,ip_version,asn,asn_name
2401:e320:c00::/38,ipv6,AS45700,PT Starlink Services Indonesia
161.248.13.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2605:59c0:502b::/48,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:800::/38,ipv6,AS45700,PT Starlink Services Indonesia
202.65.225.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.65.232.0/22,ipv4,AS45700,PT Starlink Services Indonesia
119.11.204.0/24,ipv4,AS45700,PT Starlink Services Indonesia
161.248.12.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320::/40,ipv6,AS45700,PT Starlink Services Indonesia
202.65.229.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:1000::/48,ipv6,AS45700,PT Starlink Services Indonesia
202.65.238.0/23,ipv4,AS45700,PT Starlink Services Indonesia
203.17.83.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.65.230.0/23,ipv4,AS45700,PT Starlink Services Indonesia
27.131.249.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.125.100.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:500::/40,ipv6,AS45700,PT Starlink Services Indonesia
27.131.250.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.65.237.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.125.101.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.65.224.0/22,ipv4,AS45700,PT Starlink Services Indonesia
203.17.82.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:400::/40,ipv6,AS45700,PT Starlink Services Indonesia
116.254.96.0/23,ipv4,AS45700,PT Starlink Services Indonesia
203.17.84.0/23,ipv4,AS45700,PT Starlink Services Indonesia
202.65.228.0/23,ipv4,AS45700,PT Starlink Services Indonesia
119.11.205.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:100::/40,ipv6,AS45700,PT Starlink Services Indonesia
202.65.236.0/24,ipv4,AS45700,PT Starlink Services Indonesia
27.131.248.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.65.233.0/24,ipv4,AS45700,PT Starlink Services Indonesia
116.254.98.0/23,ipv4,AS45700,PT Starlink Services Indonesia
203.17.80.0/23,ipv4,AS45700,PT Starlink Services Indonesia
203.17.86.0/23,ipv4,AS45700,PT Starlink Services Indonesia
116.254.97.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2605:59c0:5020::/48,ipv6,AS45700,PT Starlink Services Indonesia
103.228.240.0/22,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:1001::/48,ipv6,AS45700,PT Starlink Services Indonesia
202.65.238.0/24,ipv4,AS45700,PT Starlink Services Indonesia
27.131.251.0/24,ipv4,AS45700,PT Starlink Services Indonesia
203.17.85.0/24,ipv4,AS45700,PT Starlink Services Indonesia
202.65.239.0/24,ipv4,AS45700,PT Starlink Services Indonesia
203.17.87.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:e80::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:e00::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:100::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:180::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:80::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:d80::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:f00::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:c80::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:d00::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:c00::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:f80::/41,ipv6,AS45700,PT Starlink Services Indonesia
203.17.81.0/24,ipv4,AS45700,PT Starlink Services Indonesia
2401:e320:980::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:800::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:b80::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:880::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:a80::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:b00::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:a00::/41,ipv6,AS45700,PT Starlink Services Indonesia
2401:e320:900::/41,ipv6,AS45700,PT Starlink Services Indonesia
202.65.231.0/24,ipv4,AS45700,PT Starlink Services Indonesia
179.65.200.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.208.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.196.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.214.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.218.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.212.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.202.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.194.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.206.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.210.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.216.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.192.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.204.0/23,ipv4,AS45700,PT Starlink Services Indonesia
179.65.198.0/23,ipv4,AS45700,PT Starlink Services Indonesia
202.65.234.0/24,ipv4,AS45700,PT Starlink Services Indonesia
