prefix,ip_version,asn,asn_name
202.43.117.0/24,ipv4,AS45707,"Prime Link Communication, PT"
103.8.56.0/24,ipv4,AS45707,"Prime Link Communication, PT"
110.93.15.0/24,ipv4,AS45707,"Prime Link Communication, PT"
110.93.12.0/24,ipv4,AS45707,"Prime Link Communication, PT"
103.8.58.0/24,ipv4,AS45707,"Prime Link Communication, PT"
202.43.116.0/24,ipv4,AS45707,"Prime Link Communication, PT"
103.8.59.0/24,ipv4,AS45707,"Prime Link Communication, PT"
110.93.13.0/24,ipv4,AS45707,"Prime Link Communication, PT"
110.93.14.0/24,ipv4,AS45707,"Prime Link Communication, PT"
103.8.57.0/24,ipv4,AS45707,"Prime Link Communication, PT"
