prefix,ip_version,asn,asn_name
202.75.104.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.109.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.110.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.101.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.108.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.100.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.99.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.105.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.102.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.111.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.107.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.98.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.97.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.103.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.106.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
202.75.96.0/24,ipv4,AS45710,"Yudhawira Khatulistiwa, PT"
