prefix,ip_version,asn,asn_name
43.230.152.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.88.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.166.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.174.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
43.230.155.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
43.230.154.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.95.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
103.245.138.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
43.230.153.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.167.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.93.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.171.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
103.245.136.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
2402:780:4::/48,ipv6,AS45725,"Kings Network Indonesia, PT"
202.150.161.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.163.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.88.0/21,ipv4,AS45725,"Kings Network Indonesia, PT"
103.245.139.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.162.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.91.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.168.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.170.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.160.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.90.0/23,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.94.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.173.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
103.245.137.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.169.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.92.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.89.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.90.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.92.0/23,ipv4,AS45725,"Kings Network Indonesia, PT"
2402:780:100::/40,ipv6,AS45725,"Kings Network Indonesia, PT"
202.150.165.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.160.0/20,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.94.0/23,ipv4,AS45725,"Kings Network Indonesia, PT"
202.150.164.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
2402:780::/48,ipv6,AS45725,"Kings Network Indonesia, PT"
202.150.172.0/24,ipv4,AS45725,"Kings Network Indonesia, PT"
180.211.88.0/23,ipv4,AS45725,"Kings Network Indonesia, PT"
