prefix,ip_version,asn,asn_name
2400:8b00:220::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:210::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
116.206.14.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:da0::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:500::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
116.206.10.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:230::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
114.142.173.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
116.206.15.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
103.10.66.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
116.206.11.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
103.108.24.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
202.67.42.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:520::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
223.255.230.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:530::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
180.214.233.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:db0::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:200::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
180.214.232.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
116.206.28.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:d90::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
114.142.172.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
116.206.13.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:1000::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
202.67.43.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
223.255.229.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
2400:8b00:510::/44,ipv6,AS45727,PT Indosat Ooredoo Hutchison
116.206.29.0/24,ipv4,AS45727,PT Indosat Ooredoo Hutchison
