prefix,ip_version,asn,asn_name
180.235.150.0/24,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
103.6.54.0/23,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
113.20.28.0/23,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
2001:df0:bc::/48,ipv6,AS45731,"ARDH GLOBAL INDONESIA, PT"
180.235.149.0/24,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
43.229.248.0/23,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
43.229.250.0/23,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
113.20.30.0/23,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
103.20.190.0/24,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
103.6.52.0/23,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
180.235.148.0/24,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
180.235.151.0/24,ipv4,AS45731,"ARDH GLOBAL INDONESIA, PT"
