prefix,ip_version,asn,asn_name
175.111.117.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.113.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.112.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
103.135.72.0/22,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
103.135.75.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.114.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.112.0/21,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.115.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.118.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
103.135.73.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
103.135.72.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.116.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
103.135.74.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
175.111.119.0/24,ipv4,AS46026,"BATAM BINTAN TELEKOMUNIKASI, PT"
