prefix,ip_version,asn,asn_name
103.24.75.0/24,ipv4,AS46061,PT. Adi Inti Mandiri
202.52.140.0/23,ipv4,AS46061,PT. Adi Inti Mandiri
202.52.140.0/24,ipv4,AS46061,PT. Adi Inti Mandiri
103.24.74.0/24,ipv4,AS46061,PT. Adi Inti Mandiri
103.24.73.0/24,ipv4,AS46061,PT. Adi Inti Mandiri
2400:ea40::/32,ipv6,AS46061,PT. Adi Inti Mandiri
103.24.72.0/24,ipv4,AS46061,PT. Adi Inti Mandiri
202.52.141.0/24,ipv4,AS46061,PT. Adi Inti Mandiri
103.24.72.0/23,ipv4,AS46061,PT. Adi Inti Mandiri
103.24.72.0/22,ipv4,AS46061,PT. Adi Inti Mandiri
103.24.74.0/23,ipv4,AS46061,PT. Adi Inti Mandiri
