prefix,ip_version,asn,asn_name
202.52.13.0/24,ipv4,AS55653,"Skyline Semesta, PT"
103.11.96.0/23,ipv4,AS55653,"Skyline Semesta, PT"
14.102.152.0/23,ipv4,AS55653,"Skyline Semesta, PT"
103.11.99.0/24,ipv4,AS55653,"Skyline Semesta, PT"
103.11.98.0/24,ipv4,AS55653,"Skyline Semesta, PT"
202.52.14.0/24,ipv4,AS55653,"Skyline Semesta, PT"
103.11.98.0/23,ipv4,AS55653,"Skyline Semesta, PT"
2402:c300::/32,ipv6,AS55653,"Skyline Semesta, PT"
103.254.126.0/24,ipv4,AS55653,"Skyline Semesta, PT"
14.102.154.0/23,ipv4,AS55653,"Skyline Semesta, PT"
103.11.96.0/24,ipv4,AS55653,"Skyline Semesta, PT"
14.102.155.0/24,ipv4,AS55653,"Skyline Semesta, PT"
43.249.141.0/24,ipv4,AS55653,"Skyline Semesta, PT"
103.11.96.0/22,ipv4,AS55653,"Skyline Semesta, PT"
202.10.63.0/24,ipv4,AS55653,"Skyline Semesta, PT"
43.249.142.0/24,ipv4,AS55653,"Skyline Semesta, PT"
103.254.126.0/23,ipv4,AS55653,"Skyline Semesta, PT"
43.249.140.0/24,ipv4,AS55653,"Skyline Semesta, PT"
202.52.12.0/22,ipv4,AS55653,"Skyline Semesta, PT"
43.249.142.0/23,ipv4,AS55653,"Skyline Semesta, PT"
43.249.140.0/22,ipv4,AS55653,"Skyline Semesta, PT"
14.102.152.0/22,ipv4,AS55653,"Skyline Semesta, PT"
103.11.97.0/24,ipv4,AS55653,"Skyline Semesta, PT"
43.249.143.0/24,ipv4,AS55653,"Skyline Semesta, PT"
14.102.154.0/24,ipv4,AS55653,"Skyline Semesta, PT"
202.52.12.0/24,ipv4,AS55653,"Skyline Semesta, PT"
14.102.152.0/24,ipv4,AS55653,"Skyline Semesta, PT"
14.102.153.0/24,ipv4,AS55653,"Skyline Semesta, PT"
43.249.140.0/23,ipv4,AS55653,"Skyline Semesta, PT"
202.52.15.0/24,ipv4,AS55653,"Skyline Semesta, PT"
103.254.127.0/24,ipv4,AS55653,"Skyline Semesta, PT"
