prefix,ip_version,asn,asn_name
111.68.27.0/24,ipv4,AS55666,PT Media Sarana Data
111.68.25.0/24,ipv4,AS55666,PT Media Sarana Data
103.255.240.0/22,ipv4,AS55666,PT Media Sarana Data
103.17.244.0/23,ipv4,AS55666,PT Media Sarana Data
49.128.181.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:1d::/48,ipv6,AS55666,PT Media Sarana Data
2401:1700:19::/48,ipv6,AS55666,PT Media Sarana Data
103.17.247.0/24,ipv4,AS55666,PT Media Sarana Data
49.128.180.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:7c1f::/48,ipv6,AS55666,PT Media Sarana Data
119.2.54.0/24,ipv4,AS55666,PT Media Sarana Data
103.247.123.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:4::/48,ipv6,AS55666,PT Media Sarana Data
49.128.176.0/21,ipv4,AS55666,PT Media Sarana Data
2401:1700:d::/48,ipv6,AS55666,PT Media Sarana Data
2401:1700:1f::/48,ipv6,AS55666,PT Media Sarana Data
103.4.53.0/24,ipv4,AS55666,PT Media Sarana Data
49.128.176.0/23,ipv4,AS55666,PT Media Sarana Data
119.2.53.0/24,ipv4,AS55666,PT Media Sarana Data
103.17.244.0/24,ipv4,AS55666,PT Media Sarana Data
112.78.33.0/24,ipv4,AS55666,PT Media Sarana Data
202.46.148.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:1a::/48,ipv6,AS55666,PT Media Sarana Data
103.255.240.0/24,ipv4,AS55666,PT Media Sarana Data
103.140.76.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:21::/48,ipv6,AS55666,PT Media Sarana Data
49.128.183.0/24,ipv4,AS55666,PT Media Sarana Data
111.68.30.0/24,ipv4,AS55666,PT Media Sarana Data
43.252.156.0/22,ipv4,AS55666,PT Media Sarana Data
111.68.29.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:18::/48,ipv6,AS55666,PT Media Sarana Data
103.255.241.0/24,ipv4,AS55666,PT Media Sarana Data
111.68.26.0/24,ipv4,AS55666,PT Media Sarana Data
119.2.52.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:22::/48,ipv6,AS55666,PT Media Sarana Data
103.17.246.0/23,ipv4,AS55666,PT Media Sarana Data
43.245.187.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:3::/48,ipv6,AS55666,PT Media Sarana Data
43.245.184.0/22,ipv4,AS55666,PT Media Sarana Data
103.4.54.0/24,ipv4,AS55666,PT Media Sarana Data
103.17.244.0/22,ipv4,AS55666,PT Media Sarana Data
103.247.120.0/24,ipv4,AS55666,PT Media Sarana Data
43.245.185.0/24,ipv4,AS55666,PT Media Sarana Data
103.31.224.0/22,ipv4,AS55666,PT Media Sarana Data
2401:1700:1::/48,ipv6,AS55666,PT Media Sarana Data
2401:1700:11::/48,ipv6,AS55666,PT Media Sarana Data
2401:1700:20::/48,ipv6,AS55666,PT Media Sarana Data
2401:1700:7c2f::/48,ipv6,AS55666,PT Media Sarana Data
116.254.117.0/24,ipv4,AS55666,PT Media Sarana Data
103.31.225.0/24,ipv4,AS55666,PT Media Sarana Data
202.46.149.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:1b::/48,ipv6,AS55666,PT Media Sarana Data
203.30.236.0/24,ipv4,AS55666,PT Media Sarana Data
116.254.114.0/24,ipv4,AS55666,PT Media Sarana Data
202.46.150.0/24,ipv4,AS55666,PT Media Sarana Data
49.128.177.0/24,ipv4,AS55666,PT Media Sarana Data
49.128.182.0/24,ipv4,AS55666,PT Media Sarana Data
103.17.246.0/24,ipv4,AS55666,PT Media Sarana Data
111.68.31.0/24,ipv4,AS55666,PT Media Sarana Data
111.68.28.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:7c17::/48,ipv6,AS55666,PT Media Sarana Data
116.254.119.0/24,ipv4,AS55666,PT Media Sarana Data
112.78.32.0/21,ipv4,AS55666,PT Media Sarana Data
112.78.34.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:15::/48,ipv6,AS55666,PT Media Sarana Data
49.128.178.0/24,ipv4,AS55666,PT Media Sarana Data
116.254.115.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:10::/48,ipv6,AS55666,PT Media Sarana Data
43.245.184.0/24,ipv4,AS55666,PT Media Sarana Data
43.245.186.0/24,ipv4,AS55666,PT Media Sarana Data
112.78.37.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:1e::/48,ipv6,AS55666,PT Media Sarana Data
119.2.51.0/24,ipv4,AS55666,PT Media Sarana Data
119.2.48.0/24,ipv4,AS55666,PT Media Sarana Data
203.30.237.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:5::/48,ipv6,AS55666,PT Media Sarana Data
103.31.227.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:12::/48,ipv6,AS55666,PT Media Sarana Data
2401:1700:9::/48,ipv6,AS55666,PT Media Sarana Data
119.2.49.0/24,ipv4,AS55666,PT Media Sarana Data
112.78.35.0/24,ipv4,AS55666,PT Media Sarana Data
119.2.50.0/24,ipv4,AS55666,PT Media Sarana Data
2401:1700:14::/48,ipv6,AS55666,PT Media Sarana Data
111.68.24.0/24,ipv4,AS55666,PT Media Sarana Data
