prefix,ip_version,asn,asn_name
2405:b40:21::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
101.203.168.0/22,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:24::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:10::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:41::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:31::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:16::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
101.203.171.0/24,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:49::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:18::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:22::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:47::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:14::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:46::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:23::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:26::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:20::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:19::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:42::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:38::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:48::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
101.203.169.0/24,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:28::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:11::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
103.185.194.0/24,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:35::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:37::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:15::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:40::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:29::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:36::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:32::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:1::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:44::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:12::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:27::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
103.185.194.0/23,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:34::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
101.203.168.0/24,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:25::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:30::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40::/32,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:13::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
103.185.195.0/24,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:17::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:43::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:45::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
101.203.170.0/24,ipv4,AS55674,Universitas Negeri Yogyakarta
2405:b40:39::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
2405:b40:33::/48,ipv6,AS55674,Universitas Negeri Yogyakarta
