prefix,ip_version,asn,asn_name
2406:a040:ff01::/48,ipv6,AS55688,PT. Beon Intermedia
103.166.157.0/24,ipv4,AS55688,PT. Beon Intermedia
103.27.207.0/24,ipv4,AS55688,PT. Beon Intermedia
101.50.2.0/24,ipv4,AS55688,PT. Beon Intermedia
38.68.69.0/24,ipv4,AS55688,PT. Beon Intermedia
103.157.96.0/24,ipv4,AS55688,PT. Beon Intermedia
101.50.3.0/24,ipv4,AS55688,PT. Beon Intermedia
103.166.156.0/24,ipv4,AS55688,PT. Beon Intermedia
103.157.97.0/24,ipv4,AS55688,PT. Beon Intermedia
103.56.149.0/24,ipv4,AS55688,PT. Beon Intermedia
101.50.0.0/24,ipv4,AS55688,PT. Beon Intermedia
103.163.138.0/24,ipv4,AS55688,PT. Beon Intermedia
154.19.37.0/24,ipv4,AS55688,PT. Beon Intermedia
103.56.148.0/24,ipv4,AS55688,PT. Beon Intermedia
103.245.39.0/24,ipv4,AS55688,PT. Beon Intermedia
103.27.206.0/24,ipv4,AS55688,PT. Beon Intermedia
157.66.34.0/24,ipv4,AS55688,PT. Beon Intermedia
2001:df4:3b00::/48,ipv6,AS55688,PT. Beon Intermedia
103.16.116.0/24,ipv4,AS55688,PT. Beon Intermedia
157.66.35.0/24,ipv4,AS55688,PT. Beon Intermedia
103.16.117.0/24,ipv4,AS55688,PT. Beon Intermedia
103.163.139.0/24,ipv4,AS55688,PT. Beon Intermedia
101.50.1.0/24,ipv4,AS55688,PT. Beon Intermedia
103.245.38.0/24,ipv4,AS55688,PT. Beon Intermedia
38.147.122.0/24,ipv4,AS55688,PT. Beon Intermedia
