prefix,ip_version,asn,asn_name
2405:2d40:14::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:24::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:11::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:3::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:13::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
202.0.92.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:1::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
202.0.92.0/23,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:2::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40::/32,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:5::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
103.25.55.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
117.103.64.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
103.247.12.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:28::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:12::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:4::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
202.0.93.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:6::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
117.103.64.0/23,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
103.25.54.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:15::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
2405:2d40:31::/48,ipv6,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
117.103.65.0/24,ipv4,AS55695,Universitas Islam Negeri Sunan Kalijaga Yogyakarta
