prefix,ip_version,asn,asn_name
103.233.89.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
111.67.73.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
43.252.144.0/23,ipv4,AS56233,PT Asia Teknologi Solusi
192.140.224.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
120.89.94.0/23,ipv4,AS56233,PT Asia Teknologi Solusi
103.233.88.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.14.110.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.184.29.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
192.140.224.0/23,ipv4,AS56233,PT Asia Teknologi Solusi
103.14.110.0/23,ipv4,AS56233,PT Asia Teknologi Solusi
43.252.145.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.184.28.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
120.89.94.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
59.153.80.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.184.28.0/23,ipv4,AS56233,PT Asia Teknologi Solusi
43.252.144.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
120.89.95.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.233.88.0/23,ipv4,AS56233,PT Asia Teknologi Solusi
59.153.82.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
59.153.80.0/22,ipv4,AS56233,PT Asia Teknologi Solusi
111.67.76.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
59.153.81.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
192.140.225.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
59.153.83.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.14.111.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
103.14.195.0/24,ipv4,AS56233,PT Asia Teknologi Solusi
