prefix,ip_version,asn,asn_name
210.211.21.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.22.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.16.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.23.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
103.157.64.0/23,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.18.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
103.157.64.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.20.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.19.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
2407:ff40::/32,ipv6,AS56239,PT Graha Anugrah Sejahtera
210.211.16.0/21,ipv4,AS56239,PT Graha Anugrah Sejahtera
210.211.17.0/24,ipv4,AS56239,PT Graha Anugrah Sejahtera
