prefix,ip_version,asn,asn_name
103.121.148.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.144.126.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.18.47.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.165.245.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
2403:fd80:c150::/44,ipv6,AS58369,PT. Fiber Networks Indonesia
103.159.220.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.132.200.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.80.0/22,ipv4,AS58369,PT. Fiber Networks Indonesia
103.168.168.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.4.164.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.168.169.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.128.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.151.14.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
14.137.225.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.148.232.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
27.123.223.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.4.166.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.122.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
202.155.88.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.107.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.132.201.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.120.0/22,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.13.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
27.123.221.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
14.137.224.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
2403:fd80:e000::/36,ipv6,AS58369,PT. Fiber Networks Indonesia
103.140.34.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.132.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
202.155.89.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.4.165.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.120.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.121.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.156.217.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.4.166.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.108.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.41.250.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.41.250.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.136.170.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.109.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.18.46.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.165.244.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.120.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.144.127.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.177.105.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
45.112.124.0/22,ipv4,AS58369,PT. Fiber Networks Indonesia
103.173.76.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
27.123.222.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
45.112.124.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.4.167.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.133.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.144.126.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.81.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.159.221.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.106.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.108.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
27.123.220.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.12.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.144.213.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.80.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.172.249.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
115.187.31.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.41.251.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.157.82.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
27.123.220.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
115.187.30.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.167.12.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.172.248.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.140.35.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
45.112.126.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.134.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.173.76.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.75.64.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
2403:fd80:c000::/36,ipv6,AS58369,PT. Fiber Networks Indonesia
2403:fd80:8000::/36,ipv6,AS58369,PT. Fiber Networks Indonesia
116.197.128.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.148.232.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.75.64.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.131.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.130.183.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
157.20.236.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.136.170.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.156.216.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.4.164.0/22,ipv4,AS58369,PT. Fiber Networks Indonesia
103.168.168.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
218.33.82.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.153.186.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.75.65.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
2403:fd80:a000::/36,ipv6,AS58369,PT. Fiber Networks Indonesia
116.197.129.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.148.233.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.165.244.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.130.182.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.130.182.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.130.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
103.173.77.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.151.14.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.188.171.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
116.197.135.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.177.104.0/24,ipv4,AS58369,PT. Fiber Networks Indonesia
103.144.212.0/23,ipv4,AS58369,PT. Fiber Networks Indonesia
