prefix,ip_version,asn,asn_name
103.29.148.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
103.29.150.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
43.245.188.0/22,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
43.245.191.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
2403:e600::/32,ipv6,AS58376,PT Angkasa Komunikasi Global Utama
103.29.149.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
212.117.56.0/21,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
212.117.62.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
43.245.189.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
43.245.188.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
212.117.63.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
212.117.60.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
2403:e600:f00::/40,ipv6,AS58376,PT Angkasa Komunikasi Global Utama
212.117.61.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
103.29.148.0/22,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
103.29.151.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
43.245.190.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
212.117.59.0/24,ipv4,AS58376,PT Angkasa Komunikasi Global Utama
